MsgID.GLOBAL_POSITION,1525324164.8233001,-122.3974489,37.7924786,0.1480000
MsgID.LOCAL_VELOCITY,1525324164.8233001,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525324164.8235841,-0.1494722,0.1102780,-0.1508932
MsgID.LOCAL_VELOCITY,1525324164.8235841,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1525324164.8237348,-122.3974487,37.7924803,0.1730000
MsgID.LOCAL_VELOCITY,1525324164.8237348,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525324164.8238642,0.0407389,0.1136477,-0.1732947
MsgID.LOCAL_VELOCITY,1525324164.8238642,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1525324164.8240080,-122.3974499,37.7924806,0.1930000
MsgID.LOCAL_VELOCITY,1525324164.8240080,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525324164.8241372,0.0539599,-0.0001243,-0.1944645
MsgID.LOCAL_VELOCITY,1525324164.8241372,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_HOME,1525324164.8317294,-122.3974500,37.7924800,0.0000000
MsgID.STATE,1525324164.8360426,False,False
MsgID.GLOBAL_POSITION,1525324164.8365564,-122.3974500,37.7924788,0.2060000
MsgID.LOCAL_VELOCITY,1525324164.8365564,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525324164.8425992,-0.1319095,-0.0005662,-0.2061020
MsgID.LOCAL_VELOCITY,1525324164.8425992,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1525324165.0859921,-122.3974493,37.7924793,0.2100000
MsgID.LOCAL_VELOCITY,1525324165.0859921,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525324165.0922956,-0.0668509,0.0638350,-0.2105423
MsgID.LOCAL_VELOCITY,1525324165.0922956,-0.0000252,-0.0000007,0.0000138
MsgID.GLOBAL_POSITION,1525324165.3365123,-122.3974479,37.7924807,0.2050000
MsgID.LOCAL_VELOCITY,1525324165.3365123,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525324165.3428533,0.0887601,0.1818776,-0.2059696
MsgID.LOCAL_VELOCITY,1525324165.3428533,0.0000105,-0.0000078,0.0000152
MsgID.GLOBAL_POSITION,1525324165.5857749,-122.3974487,37.7924812,0.1920000
MsgID.LOCAL_VELOCITY,1525324165.5857749,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525324165.5920534,0.1335909,0.0999480,-0.1917774
MsgID.LOCAL_VELOCITY,1525324165.5920534,0.0000213,-0.0000129,0.0000149
MsgID.GLOBAL_HOME,1525324165.8331625,-122.3974500,37.7924800,0.0000000
MsgID.STATE,1525324165.8354557,True,True
MsgID.GLOBAL_POSITION,1525324169.7988873,-122.3974500,37.7924805,0.1700000
MsgID.LOCAL_VELOCITY,1525324169.7988873,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525324169.7990777,0.0558130,-0.0011084,-0.1708177
MsgID.LOCAL_VELOCITY,1525324169.7990777,0.0000095,-0.0000039,0.0000093
MsgID.GLOBAL_POSITION,1525324169.7992523,-122.3974508,37.7924800,0.1390000
MsgID.LOCAL_VELOCITY,1525324169.7992523,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525324169.7994199,-0.0450127,0.2124707,-0.1379135
MsgID.LOCAL_VELOCITY,1525324169.7994199,-0.0000053,-0.0000162,0.0000114
MsgID.GLOBAL_POSITION,1525324169.7996416,-122.3974498,37.7924799,0.1020000
MsgID.LOCAL_VELOCITY,1525324169.7996416,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525324169.7998967,-0.0523032,0.3060306,-0.1025803
MsgID.LOCAL_VELOCITY,1525324169.7998967,0.0000182,0.0000091,0.0000134
MsgID.GLOBAL_POSITION,1525324169.8002236,-122.3974482,37.7924799,0.0570000
MsgID.LOCAL_VELOCITY,1525324169.8002236,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525324169.8004806,-0.0587460,0.4532081,-0.0575035
MsgID.LOCAL_VELOCITY,1525324169.8004806,0.0000125,0.0000088,0.0000060
MsgID.GLOBAL_HOME,1525324169.8006752,-122.3974533,37.7924804,0.0000000
MsgID.STATE,1525324169.8008847,True,True
MsgID.GLOBAL_POSITION,1525324169.8012033,-122.3974483,37.7924789,0.0160000
MsgID.LOCAL_VELOCITY,1525324169.8012033,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525324169.8013499,-0.1692787,0.4450675,-0.0165848
MsgID.LOCAL_VELOCITY,1525324169.8013499,-0.0000013,-0.0000140,0.0000066
MsgID.GLOBAL_POSITION,1525324169.8015325,-122.3974502,37.7924798,-0.0270000
MsgID.LOCAL_VELOCITY,1525324169.8015325,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525324169.8017430,-0.0715991,0.2691451,0.0279492
MsgID.LOCAL_VELOCITY,1525324169.8017430,0.0000076,-0.0000027,0.0000057
MsgID.GLOBAL_POSITION,1525324169.8019958,-122.3974515,37.7924811,-0.0570000
MsgID.LOCAL_VELOCITY,1525324169.8019958,0.0000000,0.0000000,-0.0300000
MsgID.LOCAL_POSITION,1525324169.8022382,0.0765511,0.1549478,0.0576464
MsgID.LOCAL_VELOCITY,1525324169.8022382,0.0000029,-0.0010228,-0.0388818
MsgID.GLOBAL_POSITION,1525324169.8025155,-122.3974500,37.7924791,-0.0530000
MsgID.LOCAL_VELOCITY,1525324169.8025155,0.0000000,-0.0100000,-0.1700000
MsgID.LOCAL_POSITION,1525324169.8027174,-0.1531674,0.2898854,0.0525914
MsgID.LOCAL_VELOCITY,1525324169.8027174,-0.0028996,-0.0174898,-0.1707100
MsgID.GLOBAL_HOME,1525324169.8028924,-122.3974533,37.7924804,0.0000000
MsgID.STATE,1525324169.8030670,True,True
MsgID.GLOBAL_POSITION,1525324169.8032031,-122.3974484,37.7924783,-0.0430000
MsgID.LOCAL_VELOCITY,1525324169.8032031,0.0000000,-0.0300000,0.0000000
MsgID.LOCAL_POSITION,1525324169.8033400,-0.2375169,0.4335908,0.0430933
MsgID.LOCAL_VELOCITY,1525324169.8033400,0.0072684,-0.0337287,-0.0039926
